fips,state,county,total_votes,trump_votes,biden_votes,poverty_rate,population,pct_bachelors_degree
1001,ALABAMA,AUTAUGA,27770,19838,7503,12.1,55869,26.6
1003,ALABAMA,BALDWIN,109679,83544,24578,10.1,223234,31.9
1005,ALABAMA,BARBOUR,10518,5622,4816,27.1,24686,11.6
1007,ALABAMA,BIBB,9595,7525,1986,20.3,22394,10.4
1009,ALABAMA,BLOUNT,27588,24711,2640,16.3,57826,13.1
1011,ALABAMA,BULLOCK,4613,1146,3446,30,10101,12.1
1013,ALABAMA,BUTLER,9488,5458,3965,21.6,19448,16.1
1015,ALABAMA,CALHOUN,50983,35101,15216,17.2,113605,18.5
1017,ALABAMA,CHAMBERS,15284,8753,6365,19.6,33254,13.3
1019,ALABAMA,CHEROKEE,12301,10583,1624,15.9,26196,12.8
1021,ALABAMA,CHILTON,19310,16085,3073,16,44428,12.7
1023,ALABAMA,CHOCTAW,7464,4296,3127,22.6,12589,11.9
1025,ALABAMA,CLARKE,13135,7324,5755,18.4,23622,12.2
1027,ALABAMA,CLAY,6930,5601,1267,16.6,13235,10.6
1029,ALABAMA,CLEBURNE,7227,6484,675,13.3,14910,15.4
1031,ALABAMA,COFFEE,22275,16899,5076,15,52342,22.8
1033,ALABAMA,COLBERT,27886,19203,8343,14.6,55241,18.1
1035,ALABAMA,CONECUH,6441,3442,2966,22.2,12067,12.8
1037,ALABAMA,COOSA,5479,3631,1796,17.1,10663,12.8
1039,ALABAMA,COVINGTON,17430,14586,2721,17.2,37049,15.3
1041,ALABAMA,CRENSHAW,6617,4864,1700,16.8,13772,17.4
1043,ALABAMA,CULLMAN,41851,36880,4478,12.2,83768,13.9
1045,ALABAMA,DALE,19738,14303,5170,18.1,49172,18.1
1047,ALABAMA,DALLAS,17864,5524,12230,26,37196,14.7
1049,ALABAMA,DEKALB,29356,24767,4281,18.2,71513,13
1051,ALABAMA,ELMORE,41030,30164,10367,11.4,81209,25.1
1053,ALABAMA,ESCAMBIA,15910,10869,4918,20.5,36633,12.5
1055,ALABAMA,ETOWAH,47728,35528,11567,18.8,102268,17.8
1057,ALABAMA,FAYETTE,8766,7300,1395,17,16302,12.4
1059,ALABAMA,FRANKLIN,12578,10376,2086,16.1,31362,14
1061,ALABAMA,GENEVA,12545,10848,1595,16.1,26271,12.5
1063,ALABAMA,GREENE,4775,875,3884,31.7,8111,10.1
1065,ALABAMA,HALE,7900,3192,4663,20.5,14651,14.2
1067,ALABAMA,HENRY,9298,6607,2606,17.2,17205,17.1
1069,ALABAMA,HOUSTON,46173,32618,12917,19.4,105882,21.7
1071,ALABAMA,JACKSON,23636,19670,3717,14.7,51626,14
1073,ALABAMA,JEFFERSON,325848,138843,181688,16.2,658573,33.4
1075,ALABAMA,LAMAR,7193,6174,978,15.3,13805,11.9
1077,ALABAMA,LAUDERDALE,44339,31721,11915,15.7,92729,23.5
1079,ALABAMA,LAWRENCE,16031,12322,3562,17.7,32924,12.6
1081,ALABAMA,LEE,71449,42221,27860,15.5,164542,35.3
1083,ALABAMA,LIMESTONE,49235,34640,13672,12,98915,25.7
1085,ALABAMA,LOWNDES,6835,1836,4972,26.6,9726,14.7
1087,ALABAMA,MACON,8723,1541,7108,29.3,18068,20.4
1089,ALABAMA,MADISON,194767,102780,87286,11.5,372909,42.8
1091,ALABAMA,MARENGO,10900,5343,5488,24.8,18863,16.1
1093,ALABAMA,MARION,13807,12205,1463,16.9,29709,12.8
1095,ALABAMA,MARSHALL,39655,33191,5943,15.7,96774,19.4
1097,ALABAMA,MOBILE,183164,101243,79474,17.7,413210,23.2
1099,ALABAMA,MONROE,10668,6147,4455,23.3,20733,13.5
1101,ALABAMA,MONTGOMERY,99139,33311,64529,15.8,226486,33.4
1103,ALABAMA,MORGAN,53722,39664,13234,13.7,119679,22.4
1105,ALABAMA,PERRY,5230,1339,3860,33.9,8923,22.8
1107,ALABAMA,PICKENS,9668,5594,4022,24.3,19930,14.1
1109,ALABAMA,PIKE,13841,8042,5636,21.8,33114,23.7
1111,ALABAMA,RANDOLPH,10837,8559,2203,17.5,22722,16.5
1113,ALABAMA,RUSSELL,21329,9864,11228,18.9,57961,17.8
1115,ALABAMA,ST. CLAIR,44441,36166,7744,11.2,89512,16.1
1117,ALABAMA,SHELBY,114950,79700,33268,6.2,217702,42.9
1119,ALABAMA,SUMTER,6291,1598,4648,36.4,12427,21.6
1121,ALABAMA,TALLADEGA,35663,22235,13138,17.4,79978,15
